card_number,card_holder_first_name,card_holder_last_name,card_types,card_cvv,card_expiry_date,customer_id
5108753787437380,Waldemar,Papaminas,MasterCard,117,28/11/2024,C051
5108757735296140,Waldemar,Papaminas,Visa,198,06/12/2025,C051
5048376719142790,Waldemar,Papaminas,Visa,899,06/03/2024,C051
5108757536037790,Waldemar,Papaminas,MasterCard,669,15/11/2028,C051
5108758641111510,Tierney,Checchetelli,Visa,809,06/07/2025,C052
5108757262721790,Tierney,Checchetelli,MasterCard,632,18/08/2025,C052
5048378051720490,Tierney,Checchetelli,MasterCard,359,12/09/2027,C052
5048372458999930,Tierney,Checchetelli,Visa,882,11/05/2027,C052
5048378771995040,Godart,Yong,MasterCard,595,30/07/2024,C053
5108751831012160,Godart,Yong,MasterCard,599,11/03/2027,C053
5108756834250660,Godart,Yong,MasterCard,946,22/09/2025,C053
5048374958498720,Godart,Yong,MasterCard,589,12/11/2027,C053
5108751857042780,Gaye,Carass,Visa,911,30/03/2025,C054
5108752729731850,Gaye,Carass,Visa,205,02/01/2029,C054
5048373482046430,Gaye,Carass,Visa,132,09/01/2024,C054
5108759045315920,Gaye,Carass,MasterCard,668,05/12/2028,C054
5108753992084900,Ami,Hoyle,Visa,597,17/03/2028,C055
5108756297135550,Ami,Hoyle,MasterCard,877,17/08/2028,C055
5108752076545530,Ami,Hoyle,Visa,927,03/08/2026,C055
5048379517526760,Ami,Hoyle,Visa,963,02/10/2028,C055
5108759823258340,Orville,Clayworth,MasterCard,908,23/11/2023,C056
5108750889962610,Orville,Clayworth,Visa,190,29/08/2025,C056
5048377511262220,Orville,Clayworth,MasterCard,136,18/11/2026,C056
5108753590213320,Orville,Clayworth,MasterCard,796,02/12/2025,C056
5048375218555830,Andie,Botwood,Visa,205,23/12/2024,C057
5048375580238350,Andie,Botwood,MasterCard,980,22/09/2025,C057
5048370686850440,Andie,Botwood,MasterCard,714,18/09/2023,C057
5048377828750030,Andie,Botwood,MasterCard,809,16/05/2024,C057
5108752046582470,Rodolfo,Seeds,MasterCard,404,29/12/2025,C058
5108750219132980,Rodolfo,Seeds,Visa,714,31/07/2023,C058
5108758515713660,Rodolfo,Seeds,Visa,453,03/10/2028,C058
5108758511760790,Rodolfo,Seeds,Visa,324,31/03/2026,C058
5048379948821780,Reuven,Lindenbaum,MasterCard,202,21/06/2024,C059
