card_number,card_holder_first_name,card_holder_last_name,card_types,card_cvv,card_expiry_date,customer_id
5365894113698720,Alice,Smith,MasterCard,780,18/01/2026,C001
4485039251730670,Alice,Smith,Visa,243,03/11/2024,C001
4556289432159980,Alice,Smith,Visa,345,28/04/2024,C001
5214043882109970,Bob,Johnson,MasterCard,130,21/12/2027,C002
4916967465812380,Bob,Johnson,Visa,245,11/09/2027,C002
4485039251730680,Carol,Lee,Visa,504,04/08/2025,C003
4556289432159990,David,Brown,Visa,808,29/05/2028,C004
5409357802196580,Emily,White,MasterCard,486,16/12/2025,C005
5214043882119970,Emily,White,MasterCard,289,20/04/2025,C005
4916608138405570,Emily,White,Visa,456,14/05/2024,C005
4916967465812390,Frank,Adams,Visa,634,04/11/2024,C006
5409357802196570,Frank,Adams,MasterCard,677,03/12/2026,C006
4539264810097340,Grace,Martin,Visa,118,03/05/2026,C007
5541718843920670,Grace,Martin,MasterCard,346,25/03/2028,C007
4532661784105120,Grace,Martin,Visa,742,09/01/2025,C007
5124769203578890,Henry,Clark,MasterCard,545,28/12/2027,C008
4716718973015820,Henry,Clark,Visa,997,27/11/2026,C008
5229347791643200,Isabella,Rodriguez,MasterCard,413,16/02/2028,C009
5454982107759320,Isabella,Rodriguez,MasterCard,359,16/02/2028,C009
4539861027593100,Jack,Turner,Visa,540,07/12/2024,C010
4929720653779840,Jack,Turner,Visa,346,11/11/2025,C010
4916608138405560,Kate,Harris,Visa,150,01/07/2027,C011
5541718843920680,Olivia,Turner,MasterCard,663,15/05/2028,C012
5454982107759330,Patrick,Scott,MasterCard,377,05/04/2026,C013
4532298268153700,Quinn,Adams,Visa,611,11/06/2027,C014
4532614901897280,Rachel,Lee,Visa,474,23/11/2024,C015
5538687021390150,Samuel,Martinez,MasterCard,530,16/12/2027,C016
5368472910485630,Tessa,Harris,MasterCard,710,06/05/2025,C017
4532661784105130,Ulysses,Rodriguez,Visa,491,10/02/2026,C018
4716718973015830,Victoria,Turner,Visa,715,10/01/2025,C019
5117936840210980,William,Adams,MasterCard,719,07/11/2027,C020
4929720653779850,Ximena,Lee,Visa,550,10/03/2027,C021
4532637219902850,Yasmine,Garcia,Visa,155,30/07/2024,C022
4539264810097360,Zachary,Turner,Visa,655,09/06/2025,C023
5267239841578900,Zachary,Turner,MasterCard,551,03/06/2028,C023
5339074620139270,Ava,Adams,MasterCard,436,15/01/2025,C024
4556473820139840,Benjamin,Lee,Visa,830,19/10/2026,C025
4916602918743020,Chloe,Martinez,Visa,260,25/04/2027,C026
5467358214690380,Daniel,Harris,MasterCard,662,18/10/2028,C027
5456829350178640,Ella,Rodriguez,MasterCard,655,15/08/2027,C028
4556442839102540,Finn,Turner,Visa,779,08/06/2025,C029
4532751840201960,Grace,Adams,Visa,413,10/04/2024,C030
5365894113698730,Grace,Adams,MasterCard,234,05/08/2028,C030
5337542918743020,Henry,Lee,MasterCard,754,13/11/2025,C031
5298134729063870,Isla,Scott,MasterCard,270,06/07/2026,C032
4539981730519240,Jacob,Martinez,Visa,524,25/09/2028,C033
4916783201678230,Kayla,Harris,Visa,241,17/04/2024,C034
5501673928460150,Liam,Adams,MasterCard,112,28/12/2025,C035
4928974651029380,Mia,Lee,Visa,250,24/04/2027,C036
5501673928400150,Mia,Lee,MasterCard,139,27/12/2025,C036
4532126805193710,Noah,Rodriguez,Visa,643,16/10/2028,C037
5169074830291840,Olivia,Turner,MasterCard,409,25/12/2028,C038
5440129678134290,Parker,Adams,MasterCard,189,28/05/2025,C039
4532950417863290,Quinn,Lee,Visa,327,30/05/2025,C040
4539367205187340,Ruby,Martinez,Visa,929,02/08/2028,C041
5214873902865130,Stella,Turner,MasterCard,121,05/12/2025,C042
5529630174826390,Theodore,Adams,MasterCard,462,13/05/2028,C043
5409357802196590,Theodore,Adams,MasterCard,624,03/12/2026,C043
4929946017583910,Ursula,Lee,Visa,848,27/09/2025,C044
4539317420853100,Vincent,Martinez,Visa,896,16/06/2026,C045
5286179432057690,Willow,Harris,MasterCard,908,15/01/2026,C046
5320769415823900,Xavier,Rodriguez,MasterCard,976,06/01/2026,C047
4485016293872450,Yara,Turner,Visa,189,14/04/2028,C048
4556683240175830,Zachariah,Adams,Visa,308,12/05/2026,C049
5147290385102670,Johnette,Parnham,MasterCard,448,19/09/2025,C050
