customer_id,customer_first_name,customer_last_name,customer_gender,customer_date_of_birth,customer_address1,customer_address2,customer_postcode,customer_phone_number,customer_email,customer_password
C051,Waldemar,Papaminas,Male,24/03/1996,1936,Cody Road,CV11DS,193-719-5263,Waldemar.Papaminas@gmail.com,rZ7)dXca1w<IU
C052,Tierney,Checchetelli,Female,07/05/2003,7373,Crescent Avenue,CV11DF,512-355-2427,Tierney.Checchetelli@yahoo.com,dO9|HQ|7dex
C053,Godart,Yong,Male,16/02/1997,5942,Marquette Street,CV11EU,128-270-3085,Godart.Yong@hotmail.com,"kU6<3DJ4j>I,("
C054,Gaye,Carass,Female,04/10/1985,7807,Grim Road,CV11EA,205-321-9960,Gaye.Carass@gmail.com,yJ1|e|Y$`}l
C055,Ami,Hoyle,Female,05/01/1989,8299,Center Road,CV12JE,860-722-9294,Ami.Hoyle@yahoo.com,gS5!&mBo39Jo
C056,Orville,Clayworth,Male,10/11/1989,5496,Melrose Avenue,CV11FL,993-890-0209,Orville.Clayworth@hotmail.com,kK1(>%3g3)(ih
C057,Andie,Botwood,Male,13/04/1996,6438,Bultman Lane,CV12JE,568-672-7425,Andie.Botwood@gmail.com,sE2\|)9HPu
C058,Rodolfo,Seeds,Male,02/05/1990,6151,Tony Street,CV11EJ,476-863-3468,Rodolfo.Seeds@yahoo.com,"iC5/j~_oWpBFv,m1"
C059,Reuven,Lindenbaum,Male,03/04/1987,1986,Saint Street,CV11AJ,610-122-1097,Reuven.Lindenbaum@hotmail.com,qU0/}upa
C060,Drucie,Scini,Female,22/08/1975,3100,Green Road,CV11DG,594-939-3477,Drucie.Scini@gmail.com,oA3%4bZZ
C061,Kathi,Miles,Female,12/08/1973,7383,Waxwing Street,CV11AJ,350-989-5311,Kathi.Miles@yahoo.com,yJ6`g!.m
C062,Esmaria,Dunbabin,Female,16/05/1980,7608,Dunning Road,CV11DL,630-347-4356,Esmaria.Dunbabin@hotmail.com,iC3/HULB
C063,Ranice,Enterle,Female,18/09/1978,4218,Butternut Street,CV11AL,613-268-8893,Ranice.Enterle@gmail.com,mA8}vFUCZ/
C064,Porty,Barwise,Male,22/01/1993,8284,Declaration Avenue,CV11DX,781-434-0761,Porty.Barwise@yahoo.com,jZ8.g_!0a
C065,Lorne,Baylie,Male,31/07/1998,4352,Di Road,CV11FJ,127-203-1139,Lorne.Baylie@gmail.com,wO1){THe
C066,Perla,Flann,Female,24/07/1995,6799,Corscot Street,CV11DG,384-242-8392,Perla.Flann@yahoo.com,tD6+HLHx
C067,Gillie,Unwins,Female,14/09/1990,2806,Golf Lane,CV11AR,694-892-1350,Gillie.Unwins@hotmail.com,pQ7*4RIb$1koAz3
C068,Brendis,Ardron,Male,22/07/2003,5338,Fordem Street,CV11DX,723-561-8908,Brendis.Ardron@gmail.com,"iU9$K=.>D,4*6@Yh"
C069,Benedicta,Feyer,Female,04/11/1983,9557,Clyde Road,CV11AH,714-502-3153,Benedicta.Feyer@yahoo.com,cG3&vI/u@
C070,Barri,Lawlance,Male,26/02/1972,2031,Hanover Avenue,CV11DD,290-494-4161,Barri.Lawlance@hotmail.com,"zS3_yN8Rg~w@,}m"
C071,Martie,Peasby,Female,09/04/1974,5312,Continental Avenue,CV11DS,738-593-0336,Martie.Peasby@gmail.com,qF9(FyT~o`Xrs
C072,Miquela,Inskipp,Female,29/07/1980,1837,Spaight Street,CV11DX,152-547-0566,Miquela.Inskipp@yahoo.com,kS7}2$79Y{r?PW
C073,Beatriz,Ismay,Female,22/02/1980,9217,Texas Lane,CV11EU,129-897-4282,Beatriz.Ismay@hotmail.com,aJ6_qF96+6S$
C074,Ulberto,Stendell,Male,20/06/1972,6801,Porter Avenue,CV11DD,563-410-8692,Ulberto.Stendell@gmail.com,fY5.O}E\VI_j
C075,Vale,Ripon,Female,20/10/1979,8186,Westerfield Avenue,CV11DN,416-233-4122,Vale.Ripon@yahoo.com,pS1\m\NC
C076,Mason,Gladdish,Male,28/11/1997,6335,American Road,CV11EJ,895-286-9530,Mason.Gladdish@hotmail.com,"sY7,\3g*tr#"
C077,Axel,Loxton,Male,09/10/1971,6049,Barby Road,CV11DE,896-524-0368,Axel.Loxton@gmail.com,fG9\#Oi9.MTk
C078,Reggie,Drable,Male,20/02/1982,5201,Saint Lane,CV11ET,670-232-4837,Reggie.Drable@yahoo.com,wU8&up>`8`
C079,Raymond,Peek,Male,16/03/1976,5162,Elka Avenue,CV11EJ,821-143-7416,Raymond.Peek@hotmail.com,sJ7~TsgP
C080,Gan,Bill,Male,25/05/1986,3872,Sunfield Lane,CV11FJ,902-373-1362,Gan.Bill@gmail.com,aF0/Rj&DSQn0
C081,Wenda,Addicote,Female,01/06/1975,7930,Jenifer Lane,CV11DS,805-523-5309,Wenda.Addicote@hotmail.com,wG9/ir}#C}%mDj@s
C082,Deonne,Delahunt,Female,07/05/1985,3232,East Avenue,CV11FE,564-726-5674,Deonne.Delahunt@yahoo.com,cX6\toiiN
C083,Spense,Bilham,Male,10/10/1992,3964,Killdeer Street,CV11ET,509-913-0142,Spense.Bilham@gmail.com,"eL5|~$,l"
C084,Ferris,Judron,Male,16/04/1982,8767,Melody Lane,CV11AL,172-264-6347,Ferris.Judron@hotmail.com,bV1$e5<>F
C085,Biron,Dorton,Male,26/10/2002,8544,Rieder Lane,CV11EE,982-435-9949,Biron.Dorton@yahoo.com,nC5@23AKV!@gm
C086,Arda,Mearing,Female,29/08/2003,7243,Forest Avenue,CV11DX,496-225-3071,Arda.Mearing@hotmail.com,wZ8}rB?`?nrp
C087,Kitti,Timmes,Female,17/12/2000,4256,Bartillon Street,CV11EU,425-437-9357,Kitti.Timmes@gmail.com,kE3>qT)
C088,Glynn,Dragon,Male,14/09/1992,2886,Randy Road,CV11DD,440-206-7211,Glynn.Dragon@yahoo.com,hK3<o`c\cb<
C089,Ewart,Brenston,Male,16/05/1987,4991,Macpherson Avenue,CV11AJ,504-968-8448,Ewart.Brenston@hotmail.com,tR64c{Rp=e9Nm6(
C090,Nananne,Jewer,Female,21/12/1988,6365,Petterle Lane,CV11EU,393-191-2374,Nananne.Jewer@gmail.com,zZ8/)y)~2A.J5VR
C091,Maddie,Bustard,Male,10/11/1999,2707,Morningstar Lane,CV17EQ,616-447-2117,Maddie.Bustard@yahoo.com,cA3/SRv|alnQ
C092,Alyda,Widdowes,Female,19/06/1998,2405,Dunning Road,CV11FD,533-434-7493,Alyda.Widdowes@hotmail.com,xM8%F_xu
C093,Stanleigh,Tythacott,Male,27/06/1996,5804,Mariners Street,CV11DY,227-129-3728,Stanleigh.Tythacott@gmail.com,tJ3{eJ/w
C094,Budd,Harrold,Male,06/12/1980,6682,Brentwood Lane,CV11DL,611-370-8155,Budd.Harrold@gmail.com,fG4{9WxSJ
C095,Nelie,Ferschke,Female,28/12/1982,2229,Shoshone Avenue,CV17EQ,214-415-0834,Nelie.Ferschke@hotmail.com,pH9{L(av}.
C096,Jenifer,Widdowfield,Female,29/03/1984,7055,Barby Road,CV11FN,676-473-9225,Jenifer.Widdowfield@yahoo.com,"pI5,5VL66&%vh_l"
