customer_id,customer_first_name,customer_last_name,customer_gender,customer_date_of_birth,customer_address1,customer_address2,customer_postcode,customer_phone_number,customer_email,customer_password
C001,Alice,Smith,Female,15/03/1985,1423,Main Street,CV11DS,182-680-4772,alice.smith@gmail.com,"qE4(a""M}R"
C002,Bob,Johnson,Male,20/08/1990,4856,Elm Avenue,CV11DF,149-330-4998,bob.johnson@yahoo.com,aX1#ofz&A=/LDt
C003,Carol,Lee,Female,12/10/1988,1789,Oak Lane,CV11EU,436-655-7221,carol.lee@hotmail.com,"qF7""!$V1"
C004,David,Brown,Male,06/05/1977,5627,Maple Road,CV11EA,227-726-2423,david.brown@gmail.com,"kD6<%#""8tX7T<"
C005,Emily,White,Female,18/04/1992,7899,Willow Lane,CV11AP,169-863-9105,emily.white@yahoo.com,oK3+8<*Uqm
C006,Frank,Adams,Male,30/11/1980,2344,Birch Street,CV11AJ,222-740-7197,frank.adams@hotmail.com,"qV2!,@{$1"
C007,Grace,Martin,Female,22/09/1995,5267,Cedar Road,CV17EQ,557-953-5996,grace.martin@gmail.com,"jX4""okZ_"
C008,Henry,Clark,Male,14/02/1983,8910,Pine Lane,CV11AN,830-197-6613,henry.clark@yahoo.com,vA3/Kjh&Pw
C009,Isabella,Rodriguez,Female,14/02/1985,1234,Oak Avenue,CV12JE,950-876-7005,isabella.rodriguez@hotmail.com,"rI1{c,G_"
C010,Jack,Turner,Male,25/10/1991,5678,Elm Street,CV11AP,280-246-9338,jack.turner@gmail.com,bH7~k$u)l+P$5?T.
C011,Kate,Harris,Female,05/12/1987,9012,Maple Avenue,CV11AJ,420-644-5388,kate.harris@yahoo.com,"nQ9(|,7Ow8Wm"
C012,Olivia,Turner,Female,11/05/1993,1235,Elm Street,CV11AQ,241-617-7493,olivia.turner@hotmail.com,vM7+p!*17S_($E/
C013,Patrick,Scott,Male,22/07/1982,5679,Oak Avenue,CV11AH,551-538-3992,patrick.scott@gmail.com,nC9+4jow+e
C014,Quinn,Adams,Non-binary,04/10/1997,9013,Birch Lane,CV11FL,363-661-5962,quinn.adams@yahoo.com,nQ8.2U~ve0Zq
C015,Rachel,Lee,Female,18/09/1989,1236,Maple Road,CV12JE,972-752-4537,rachel.lee@hotmail.com,qD7_GTB!h.XrOQRH
C016,Samuel,Martinez,Male,03/03/1994,5670,Cedar Street,CV11EJ,997-118-3347,samuel.martinez@gmail.com,fB4|JR=<GcL
C017,Tessa,Harris,Female,15/12/1986,9014,Oak Lane,CV11AN,809-341-4532,tessa.harris@yahoo.com,kL1)FlF$1ACLBN
C018,Ulysses,Rodriguez,Male,08/08/1981,1237,Elm Avenue,CV11DF,313-383-7195,ulysses.rodriguez@hotmail.com,aS3&OG5@Av
C019,Victoria,Turner,Female,20/05/1996,5671,Birch Street,CV11EY,372-443-0524,victoria.turner@gmail.com,eF7|OM(5n{JS*BU_
C020,William,Adams,Male,02/02/1984,9015,Maple Avenue,CV11DE,446-900-0198,william.adams@yahoo.com,eJ3$osv+_yrOI
C021,Ximena,Lee,Female,25/09/1999,5672,Cedar Road,CV11EX,418-584-2590,ximena.lee@hotmail.com,"fS2""hqo`qt"
C022,Yasmine,Garcia,Female,03/12/1997,5673,Oak Lane,CV11EA,618-309-7910,yasmine.garcia@gmail.com,dX1>mdwry$m(2`J
C023,Zachary,Turner,Male,15/10/1988,9016,Elm Street,CV11FN,444-371-3784,zachary.turner@yahoo.com,mZ2%Fo?G%=
C024,Ava,Adams,Female,28/06/1994,5674,Birch Avenue,CV11EU,814-976-5334,ava.adams@hotmail.com,"rW1,7Yq*R"
C025,Benjamin,Lee,Male,09/04/1983,9017,Maple Road,CV17EQ,964-975-7314,benjamin.lee@gmail.com,aJ5%oB&O.j%
C026,Chloe,Martinez,Female,22/02/1990,5675,Cedar Lane,CV11DY,367-253-1374,chloe.martinez@yahoo.com,oM9{F=pT{de<RD
C027,Daniel,Harris,Male,14/09/1985,9018,Oak Avenue,CV11EJ,257-108-5873,daniel.harris@hotmail.com,jJ7<9U7@R
