order_id,order_date,order_status,recipient_first_name,recipient_last_name,recipient_phone_number,delivery_address1,delivery_address2,delivery_postcode,delivery_type,delivered_date,expected_delivery_date,delivery_instructions,voucher_id
OD003,02/04/2024,Cancelled,Sharyl,Phayre,373-527-1034,8658,Dapin Lane,CV11EY,Same_day,,,,V1012
OD004,03/04/2024,Cancelled,Bonni,Averies,851-868-6354,1145,Dayton Road,CV11FD,Same_day,04/04/2024,04/04/2024,Leave in designated bin,
OD005,03/04/2024,Processed,Pip,Stanyer,930-424-3643,4725,Redwing Road,CV11EY,Scheduled,04/04/2024,04/04/2024,,
OD006,04/04/2024,Processed,Gianni,Sondon,790-694-4712,4230,Glendale Lane,CV11DN,Standard,05/04/2024,05/04/2024,,
OD007,04/04/2024,Cancelled,Pip,Stanyer,930-424-3643,4725,Redwing Road,CV11EY,Same_day,05/04/2024,05/04/2024,Deliver to leasing office,
OD008,04/04/2024,Cancelled,Aurore,Lathom,505-481-3525,1035,Wayridge Avenue,CV11AR,Scheduled,05/04/2024,05/04/2024,Leave with security,
OD009,04/04/2024,Cancelled,Eleanor,Filer,538-228-4769,8475,Hagan Avenue,CV11DE,Scheduled,,,,
OD010,05/04/2024,Cancelled,Bartholemy,Curthoys,270-106-4235,6585,3rd Lane,CV11DE,Same_day,,,,V1012
OD011,05/04/2024,Cancelled,Andie,Botwood,568-672-7425,6438,Bultman Lane,CV12JE,Standard,06/04/2024,07/04/2024,Leave with neighbor,V1012
OD012,05/04/2024,Processed,Richardo,Bingall,176-349-5328,1300,Hintze Avenue,CV11DG,Same_day,06/04/2024,06/04/2024,,V1012
OD014,05/04/2024,Processed,Gillie,Unwins,694-892-1350,2806,Golf Lane,CV11AR,Next_Day,,,,
OD016,06/04/2024,Cancelled,Rodolfo,Seeds,476-863-3468,6151,Tony Street,CV11EJ,Scheduled,07/04/2024,07/04/2024,,
OD017,06/04/2024,Processed,Archibold,Pavia,886-815-3559,5590,Bay Road,CV11DL,Pickup,07/04/2024,07/04/2024,Apartment floor: 4th,
OD018,06/04/2024,Cancelled,Bonni,Averies,851-868-6354,1145,Dayton Road,CV11FD,Standard,07/04/2024,07/04/2024,,
OD019,06/04/2024,Cancelled,Aimee,Keeley,763-472-9254,9536,Susan Road,CV11AJ,Next_Day,07/04/2024,07/04/2024,,
OD020,06/04/2024,Processed,Sigrid,Danzig,592-312-8948,8980,Loomis Avenue,CV11DD,Same_day,07/04/2024,07/04/2024,,
OD021,07/04/2024,Cancelled,Carlie,Trewhitt,165-159-4784,3345,Armistice Lane,CV11DG,Same_day,08/04/2024,08/04/2024,Deliver to front desk,
OD022,09/04/2024,Processed,Osborn,Bisco,466-867-2841,6278,Hooker Lane,CV11DS,Next_Day,10/04/2024,10/04/2024,Leave in front of garage,
OD023,09/04/2024,Processed,Axel,Loxton,896-524-0368,6049,Barby Road,CV11DE,Standard,10/04/2024,10/04/2024,,
OD024,09/04/2024,Cancelled,Nelie,Ferschke,214-415-0834,2229,Shoshone Avenue,CV17EQ,Pickup,10/04/2024,10/04/2024,,
OD026,09/04/2024,Cancelled,Melita,Middlemiss,770-223-5713,6344,Sycamore Avenue,CV11DY,Next_Day,,,,
OD028,09/04/2024,Processed,Wenda,Addicote,805-523-5309,7930,Jenifer Lane,CV11DS,Standard,,,,
OD029,09/04/2024,Processed,Ricki,Whitfeld,104-822-4290,9909,Elka Road,CV11AR,Standard,10/04/2024,10/04/2024,,
OD030,10/04/2024,Cancelled,Cullen,Guidetti,571-482-8453,6719,Forster Street,CV11DD,Pickup,11/04/2024,11/04/2024,Deliver to loading bay,
OD031,10/04/2024,Processed,Pip,Stanyer,930-424-3643,4725,Redwing Road,CV11EY,Pickup,11/04/2024,11/04/2024,,
OD032,10/04/2024,Processed,Wenda,Addicote,805-523-5309,7930,Jenifer Lane,CV11DS,Pickup,,,,
OD033,10/04/2024,Processed,Sergeant,Red,424-862-3047,8077,Crescent Lane,CV11FJ,Next_Day,11/04/2024,11/04/2024,Deliver to suite 301,
OD034,10/04/2024,Cancelled,Caldwell,Cutajar,461-890-9811,9668,Corry Avenue,CV11DD,Scheduled,11/04/2024,11/04/2024,,
