order_id,order_date,order_status,recipient_first_name,recipient_last_name,recipient_phone_number,delivery_address1,delivery_address2,delivery_postcode,delivery_type,expected_delivery_date,delivered_date,delivery_instructions,voucher_id
OD002,01/01/2024,Processed,Johnette,Parnham,360-685-0731,5355,Norway Maple Point,CV11ET,Standard,01/03/2024,01/03/2024,Deliver after 10 AM,
OD013,01/01/2024,Processed,Ella,Rodriguez,601-666-6849,5676,Elm Road,CV11DG,Pickup,,,,V1002
OD015,01/01/2024,Processed,Jacob,Martinez,669-312-6285,9021,Cedar Lane,CV11DF,Pickup,,,,
OD025,01/01/2024,Processed,Quinn,Adams,110-537-3289,5682,Maple Lane,CV11DS,Pickup,,,,
OD027,01/01/2024,Processed,Alice,Smith,182-680-4772,1423,Main Street,CV11DS,Same_day,01/01/2024,01/01/2024,,V1005
OD036,01/02/2024,Processed,Yara,Turner,227-718-9960,5686,Birch Road,CV17EQ,Standard,28/02/2024,26/02/2024,Do not knock,
OD037,01/03/2024,Processed,Olivine,Turner,241-617-7493,1235,Elm Street,CV11AQ,Scheduled,14/02/2024,14/02/2024,,
OD048,02/02/2024,Processed,Tania,Streetley,915-786-7688,190,Cascade Street,CV39OM,Next_day,04/01/2024,04/01/2024,Deliver after 10 AM,
OD049,02/03/2024,Processed,Isabella,Rodriguez,950-876-7005,1234,Oak Avenue,CV12JE,Standard,08/02/2024,08/02/2024,Leave in package locker,
OD062,03/01/2024,Processed,Ximena,Lee,418-584-2590,5672,Cedar Road,CV11EX,Pickup,,,,
OD067,03/01/2024,Processed,Brittani,Friett,976-792-6001,5355,Norway Maple Point,CV71OE,Same_day,10/01/2024,10/01/2024,Leave in designated bin,
OD068,03/01/2024,Processed,Isla,Scott,881-709-2319,5678,Oak Road,CV11EE,Standard,26/01/2024,26/01/2024,Deliver to side porch,
OD097,03/02/2024,Processed,Ted,Stivani,639-767-1484,1787,Buena Vista Alley,CV56FO,Next_day,02/03/2024,02/03/2024,Deliver to side entrance,
OD104,03/02/2024,Processed,Henry,Clark,830-197-6613,8910,Pine Lane,CV11AN,Pickup,,,,
OD105,03/03/2024,Processed,Benjamin,Lee,964-975-7314,9017,Maple Road,CV17EQ,Scheduled,22/01/2024,22/01/2024,Deliver to porch,
OD121,03/03/2024,Processed,Kate,Harris,420-644-5388,9012,Maple Avenue,CV11AJ,Same_day,08/02/2024,08/02/2024,Deliver to store room,
OD130,03/03/2024,Processed,Frank,Adams,222-740-7197,2344,Birch Street,CV11AJ,Scheduled,07/03/2024,07/03/2024,Deliver to loading dock,
OD133,04/01/2024,Processed,Kate,Harris,420-644-5388,9012,Maple Avenue,CV11AJ,Scheduled,09/01/2024,08/01/2024,,V1007
OD134,04/01/2024,Cancelled,Stella,Turner,382-273-7280,5683,Elm Avenue,CV11FL,Pickup,,,,V1010
OD135,04/02/2024,Processed,Xavier,Rodriguez,259-573-8086,9028,Elm Street,CV11EE,Next_day,26/02/2024,26/02/2024,,
OD139,04/02/2024,Processed,Jack,Turner,280-246-9338,5678,Elm Street,CV11AP,Pickup,,,,
OD140,04/03/2024,Processed,Quinn,Adams,110-537-3289,5682,Maple Lane,CV11DS,Pickup,,,,
OD143,04/03/2024,Processed,Henry,Clark,830-197-6613,8910,Pine Lane,CV11AN,Next_day,06/01/2024,07/01/2024,Deliver to shipping department,
OD147,05/01/2024,Processed,Yasmine,Garcia,618-309-7910,5673,Oak Lane,CV11EA,Next_day,16/01/2024,16/01/2024,Deliver to leasing office,V1006
OD156,05/02/2024,Processed,Ruby,Martinez,290-163-0340,9025,Cedar Road,CV11AR,Next_day,18/02/2024,18/02/2024,Deliver to car,
OD161,05/03/2024,Processed,Olivia,Turner,241-617-7493,1235,Elm Street,CV11AQ,Scheduled,09/02/2024,09/02/2024,Leave in back yard,
OD162,05/03/2024,Processed,Ximena,Lee,418-584-2590,5672,Cedar Road,CV11EX,Next_day,15/01/2024,16/01/2024,Leave by the mailbox,
OD171,06/02/2024,Processed,Mia,Lee,473-480-3835,5680,Maple Road,CV11AH,Standard,30/01/2024,30/01/2024,Leave under the mat,
OD172,06/02/2024,Processed,Zachariah,Adams,775-810-8347,9029,Maple Lane,CV11FD,Standard,01/03/2024,01/03/2024,,
OD177,06/03/2024,Processed,Stella,Turner,382-273-7280,5683,Elm Avenue,CV11FL,Same_day,18/02/2024,18/02/2024,,
OD180,07/01/2024,Processed,Yara,Turner,227-718-9960,5686,Birch Road,CV17EQ,Pickup,,,,
OD185,07/01/2024,Processed,Isla,Scott,881-709-2319,5678,Oak Road,CV11EE,Standard,27/01/2024,27/01/2024,Leave with security,
OD188,07/01/2024,Processed,David,Brown,227-726-2423,5627,Maple Road,CV11EA,Next_day,04/02/2024,04/02/2024,Leave with neighbor,V1008
OD189,07/02/2024,Processed,Noah,Rodriguez,636-777-6769,9023,Oak Lane,CV11EJ,Pickup,,,,
OD216,07/02/2024,Processed,Vincent,Martinez,392-707-7936,9027,Cedar Avenue,CV11DD,Same_day,22/02/2024,22/02/2024,,
OD220,08/01/2024,Processed,Zachariah,Adams,775-810-8347,9029,Maple Lane,CV11FD,Pickup,,,,
OD223,08/02/2024,Processed,Emily,White,169-863-9105,7899,Willow Lane,CV11AP,Next_day,04/03/2024,04/03/2024,,
OD228,08/02/2024,Processed,Jacob,Martinez,669-312-6285,9021,Cedar Lane,CV11DF,Pickup,,,,
OD241,08/02/2024,Processed,David,Brown,227-726-2423,5627,Maple Road,CV11EA,Next_day,03/03/2024,03/03/2024,,V1003
OD248,08/02/2024,Processed,Charissa,Coade,202-565-5632,097 ,Almo Pass,CV69BP,Same_day,01/01/2024,01/01/2024,Delivery Instruction,
OD253,08/02/2024,Processed,Henry,Clark,830-197-6613,8910,Pine Lane,CV11AN,Next_day,05/03/2024,05/03/2024,Ring bell twice,
OD256,08/02/2024,Processed,Tessa,Harris,809-341-4532,9014,Oak Lane,CV11AN,Next_day,11/02/2024,12/02/2024,,
OD268,08/03/2024,Processed,Victoria,Turner,372-443-0524,5671,Birch Street,CV11EY,Scheduled,12/02/2024,12/02/2024,Deliver to side gate,
OD271,08/03/2024,Processed,Victoria,Turner,372-443-0524,5671,Birch Street,CV11EY,Scheduled,12/02/2024,13/02/2024,,
OD285,08/03/2024,Processed,Emily,White,169-863-9105,7899,Willow Lane,CV11AP,Standard,06/01/2024,06/01/2024,Deliver to mailroom,
OD286,09/01/2024,Processed,Olivia,Turner,455-640-8117,5681,Elm Street,CV11FE,Next_day,15/02/2024,16/02/2024,Leave on the steps,
OD287,09/01/2024,Processed,Tessa,Harris,809-341-4532,9014,Oak Lane,CV11AN,Same_day,10/02/2024,10/02/2024,,
OD301,09/01/2024,Processed,Vincent,Martinez,392-707-7936,9027,Cedar Avenue,CV11DD,Next_day,23/02/2024,23/02/2024,Deliver to side door,
OD309,09/02/2024,Processed,Alice,Smith,182-680-4772,1423,Main Street,CV11DS,Pickup,,,,V1009
OD310,10/01/2024,Processed,Quinn,Adams,363-661-5962,9013,Birch Lane,CV11FL,Standard,11/02/2024,11/02/2024,Apartment floor: 4th,
OD311,10/01/2024,Processed,Frank,Adams,222-740-7197,2344,Birch Street,CV11AJ,Same_day,03/03/2024,04/03/2024,Deliver to front desk,
OD315,10/01/2024,Processed,Henry,Clark,802-401-5491,9020,Cedar Road,CV11AH,Next_day,25/01/2024,25/01/2024,Apartment building: Maplewood Court,
OD322,10/01/2024,Processed,Olivia,Turner,241-617-7493,1235,Elm Street,CV11AQ,Standard,11/01/2024,11/01/2024,,
OD325,10/01/2024,Processed,Ella,Rodriguez,601-666-6849,5676,Elm Road,CV11DG,Same_day,20/01/2024,20/01/2024,Leave in front of garage,
OD329,10/02/2024,Processed,David,Brown,227-726-2423,5627,Maple Road,CV11EA,Standard,04/03/2024,04/03/2024,,
OD341,10/02/2024,Processed,Isla,Scott,881-709-2319,5678,Oak Road,CV11EE,Scheduled,25/01/2024,25/01/2024,,
OD364,11/01/2024,Processed,Kate,Harris,420-644-5388,9012,Maple Avenue,CV11AJ,Standard,10/01/2024,08/01/2024,,
OD368,11/02/2024,Processed,Willow,Harris,471-944-1604,5685,Oak Lane,CV11EJ,Standard,25/02/2024,24/02/2024,Leave with apartment manager,
OD389,11/02/2024,Processed,Johnette,Parnham,360-685-0731,5355,Norway Maple Point,CV11ET,Scheduled,28/02/2024,28/02/2024,Fragile - Handle with care,
OD394,12/01/2024,Processed,Jack,Turner,280-246-9338,5678,Elm Street,CV11AP,Next_day,08/01/2024,08/01/2024,Deliver to loading bay,
OD395,12/01/2024,Processed,Isabella,Rodriguez,950-876-7005,1234,Oak Avenue,CV12JE,Same_day,06/02/2024,06/02/2024,Deliver to suite 301,
OD400,12/01/2024,Processed,Olivia,Turner,455-640-8117,5681,Elm Street,CV11FE,Standard,02/02/2024,02/02/2024,,
OD401,12/02/2024,Processed,Grace,Martin,384-612-8021,5677,Maple Avenue,CV11EE,Standard,23/01/2024,23/01/2024,,V1008
OD422,14/01/2024,Processed,Jack,Turner,280-246-9338,5678,Elm Street,CV11AP,Next_day,20/01/2024,20/01/2024,Apartment unit: 204,
OD423,12/02/2024,Processed,Jack,Turner,280-246-9338,5678,Elm Street,CV11AP,Standard,08/03/2024,08/03/2024,,
