supplier_id,supplier_name,supplier_phone_number,supplier_email,supplier_password,supplier_address1,supplier_address2,supplier_postcode,supplier_sort_code,supplier_account_name,supplier_account_number
SP0006ABC,FruitFusion Co.,123-456-7890,contact@fruitfusionco.com,oV5}1l48%pYCU8,1203,Main Street,CV11AB,12-34-56,FruitFusion Company Limited,4234567890123450 
SP0007XYZ,VeggieVista Farms,987-654-3210,info@veggievistafarms.com,vP4}}t+8L,4566,Elm Avenue,CV11XY,65-43-21,VeggieVista Farms Company,5876543210987650 
SP0008FDS,HerbHarmony Organics,567-890-1234,support@herbharmonyorganics.com,xB9|u(x|4Y62oUV,7689,Oak Road,CV11FD,76-37-38,HerbHarmony Organics Company,5678901234567890 
SP0009GHI,PrimeCut Beefery,210-987-6543,sales@primecutbeefery.com,uA5<tP|h&Q6k,9837,Pine Lane,CV11GH,21-09-87,PrimeCut Beefery Company,4109876543210980 
SP0010JKL,PorkParadise Delights,543-210-9876,hello@porkparadisedelights.com,iE2%Ac6l5,6544,Maple Street,CV11JK,54-32-10,PorkParadise Delights Company,5432109876543210 
SP0011MNO,CluckHaven Chicken Farm,678-901-2345,service@cluckhavenchickenfarm.com,"tH9@`#3Vd,9%Knp",7589,Birch Avenue,CV11MN,67-89-01,CluckHaven Chicken Farm Company,5789012345678900 
SP0012PQR,ShrimpShore Seafoods,345-678-9012,orders@shrimpshoreseafoods.com,fO8|20K),8766,Cedar Road,CV11PQ,34-56-78,ShrimpShore Seafoods Company,3456789012345670 
SP0013STU,ChipCrunch Snackery,789-012-3456,feedback@chipcrunchsnackery.com,gP7~afvI,2374,Elm Street,CV11ST,78-90-12,ChipCrunch Snackery Publc Limited,4890123456789010 
SP0014VWX,SweetTreats Candy Co.,901-234-5678,inquiries@sweettreatscandyco.com,"zX4@y,qD",5867,Oak Avenue,CV11VW,90-12-34,SweetTreats Candy Company,3012345678901230 
SP0015YZA,BrewBliss Beverages,123-456-7890,contactus@brewblissbeverages.com,eU3@G>yVJADvke,8390,Pine Road,CV11YZ,12-34-56,BrewBliss Beverages Corporate,4234567890123450 
