transaction_id,transaction_date,transaction_status,card_number,order_id
TR141,02/04/2024,Complete,5108755086319640,OD003
TR142,03/04/2024,Complete,5048372958590630,OD004
TR143,04/04/2024,Complete,5048373011630510,OD008
TR144,03/04/2024,Complete,5108758560359540,OD005
TR145,04/04/2024,Complete,5048372649325410,OD006
TR146,04/04/2024,Complete,5108758560359540,OD007
TR147,04/04/2024,Complete,5048374755608880,OD009
TR148,05/04/2024,On Hold,5108754474918090,OD010
TR149,05/04/2024,Complete,5048375218555830,OD011
TR150,05/04/2024,Complete,5108753598289170,OD012
TR151,05/04/2024,Complete,5108752841950270,OD014
TR152,06/04/2024,Complete,5048375200951310,OD017
TR153,06/04/2024,Cancelled,5108752046582470,OD016
TR154,06/04/2024,Complete,5048372958590630,OD018
TR155,06/04/2024,Complete,5108756737281820,OD019
TR156,06/04/2024,Complete,5108754925405370,OD020
TR157,07/04/2024,Complete,5108759095157250,OD021
TR158,09/04/2024,Complete,5048370605357200,OD022
TR159,09/04/2024,Complete,5108753715509490,OD023
TR160,09/04/2024,Complete,5048371854947530,OD024
TR161,09/04/2024,Complete,5048375778388520,OD026
TR162,09/04/2024,Complete,5048373295861540,OD028
TR163,09/04/2024,Complete,5048373151241400,OD029
TR164,10/04/2024,Complete,5048373295861540,OD032
TR165,10/04/2024,Complete,5108757475108610,OD030
TR166,10/04/2024,Complete,5108758560359540,OD031
TR167,10/04/2024,Complete,5048378584106470,OD033
TR168,10/04/2024,Complete,5048375865632790,OD034
TR169,11/04/2024,Complete,5108751857042780,OD035
TR170,11/04/2024,Complete,5048376546197600,OD038
TR171,12/04/2024,Complete,5108754907099800,OD039
TR172,12/04/2024,Complete,5048373151241400,OD040
TR173,12/04/2024,Complete,5108753715509490,OD041
TR174,13/04/2024,Complete,5108754907099800,OD042
TR175,13/04/2024,Complete,5048373309261870,OD043
TR176,13/04/2024,Complete,5108752780517740,OD044
TR177,13/04/2024,Complete,5108752046582470,OD045
TR178,13/04/2024,Complete,5048373745254310,OD046
TR179,14/04/2024,Complete,5048372649325410,OD047
TR180,14/04/2024,Complete,5108751167199320,OD050
TR181,14/04/2024,Complete,5048370255304960,OD051
TR182,14/04/2024,Complete,5108751430773090,OD052
TR183,14/04/2024,Complete,5108750497276760,OD053
TR184,14/04/2024,Complete,5108751857042780,OD054
TR185,15/04/2024,Complete,5108755982257060,OD055
TR186,15/04/2024,Complete,5108754822362770,OD056
TR187,15/04/2024,Complete,5048375823484430,OD057
TR188,16/04/2024,Complete,5048373640703300,OD058
TR189,16/04/2024,Complete,5048379257749680,OD059
TR190,17/04/2024,Complete,5048379641747950,OD061
TR191,17/04/2024,Complete,5108758560359540,OD063
TR192,17/04/2024,Complete,5108756029333300,OD060
TR193,18/04/2024,Complete,5048373478601710,OD064
TR194,18/04/2024,Complete,5048372439827400,OD065
TR195,19/04/2024,Complete,5108752870591960,OD066
TR196,19/04/2024,Complete,5048375218555830,OD069
TR197,19/04/2024,Complete,5108755006251660,OD070
TR198,19/04/2024,Complete,5048376137554000,OD071
TR199,19/04/2024,Complete,5048377579761100,OD072
TR200,20/04/2024,Complete,5108751564516120,OD073
TR201,20/04/2024,Complete,5048374189668210,OD074
TR202,20/04/2024,Complete,5108753033999510,OD075
TR203,20/04/2024,Complete,5048372620827280,OD076
TR204,20/04/2024,Complete,5108759147886910,OD077
TR205,21/04/2024,Complete,5108759634972760,OD078
TR206,21/04/2024,Complete,5108751167199320,OD079
TR207,21/04/2024,Complete,5048372960181250,OD080
TR208,21/04/2024,Complete,5108750565676770,OD081
TR209,22/04/2024,Complete,5048373227732610,OD082
TR210,22/04/2024,Complete,5108759095157250,OD083
TR211,22/04/2024,Complete,5048374359410980,OD084
TR212,22/04/2024,Complete,5048376571785530,OD085
TR213,23/04/2024,Complete,5048372649325410,OD086
TR214,23/04/2024,Complete,5048379257749680,OD087
TR215,24/04/2024,Complete,5048375957265010,OD089
TR216,24/04/2024,Complete,5108751167199320,OD088
TR217,24/04/2024,Complete,5108754907099800,OD090
TR218,24/04/2024,Complete,5048379298530400,OD091
TR219,25/04/2024,Complete,5048370030516130,OD092
TR220,25/04/2024,Complete,5048375789648560,OD093
TR221,25/04/2024,Complete,5108759271097060,OD094
TR222,26/04/2024,Complete,5048377425648890,OD095
TR223,26/04/2024,Cancelled,5048373337221350,OD096
TR224,26/04/2024,Complete,5048373745254310,OD098
TR225,26/04/2024,Complete,5048371554381820,OD099
TR226,26/04/2024,Complete,5048370030516130,OD100
TR227,26/04/2024,Complete,5108759823258340,OD101
TR228,26/04/2024,Complete,5048372649325410,OD102
TR229,27/04/2024,Complete,5048378286881650,OD103
TR230,27/04/2024,Complete,5108754822362770,OD106
TR231,27/04/2024,Complete,5048375571631660,OD107
TR232,28/04/2024,Complete,5048378286881650,OD108
TR233,28/04/2024,Failed,5048373295861540,OD109
TR234,28/04/2024,Complete,5108754309489810,OD110
TR235,28/04/2024,On Hold,5108754352354120,OD111
TR236,29/04/2024,Complete,5048371936768120,OD112
TR237,29/04/2024,Complete,5048372649325410,OD113
TR238,29/04/2024,Complete,5048373059283950,OD114
TR239,30/04/2024,Complete,5048372620827280,OD115
TR240,30/04/2024,Cancelled,5108756804051500,OD118
TR241,30/04/2024,Complete,5048372441439180,OD116
TR242,30/04/2024,Complete,5048376374911320,OD117
TR243,30/04/2024,Complete,5048372958590630,OD119
TR244,01/05/2024,Complete,5108754925405370,OD120
TR245,01/05/2024,Complete,5108759634972760,OD122
TR246,01/05/2024,Complete,5048379641747950,OD123
TR247,01/05/2024,Complete,5108757922671880,OD124
TR248,03/05/2024,Complete,5108753095929860,OD125
TR249,03/05/2024,Complete,5048377503257370,OD126
TR250,03/05/2024,Complete,5048374755608880,OD127
TR251,03/05/2024,Complete,5108752841950270,OD128
TR252,03/05/2024,Complete,5108758240091760,OD129
TR253,03/05/2024,Complete,5048375218555830,OD131
TR254,03/05/2024,Complete,5048370679330250,OD132
TR255,03/05/2024,Complete,5048370679330250,OD136
TR256,03/05/2024,Complete,5048375200951310,OD137
TR257,04/05/2024,Complete,5108751430773090,OD138
TR258,04/05/2024,Complete,5048373011630510,OD141
TR259,05/05/2024,Complete,5108759647463910,OD142
TR260,05/05/2024,Complete,5108759647463910,OD144
TR261,05/05/2024,Complete,5108756054149210,OD145
TR262,06/05/2024,On Hold,5108756094064390,OD146
TR263,06/05/2024,Complete,5048379257749680,OD148
TR264,07/05/2024,Complete,5108754322611500,OD150
TR265,07/05/2024,Complete,5108759573483110,OD151
TR266,07/05/2024,Complete,5048376374911320,OD149
TR267,08/05/2024,Complete,5048376571785530,OD152
TR268,08/05/2024,Complete,5048375166881440,OD153
TR269,09/05/2024,Complete,5048378286881650,OD154
TR270,09/05/2024,Complete,5108750497276760,OD155
TR271,09/05/2024,Complete,5108756029333300,OD157
TR272,09/05/2024,Complete,5048370030516130,OD158
TR273,09/05/2024,Complete,5048375047668200,OD159
TR274,10/05/2024,Failed,5048378301210860,OD160
TR275,10/05/2024,Complete,5108754848454780,OD163
TR276,12/05/2024,Complete,5048374802673950,OD164
TR277,12/05/2024,Complete,5048377425648890,OD165
TR278,12/05/2024,Complete,5108758515733760,OD166
TR279,13/05/2024,Complete,5048374359410980,OD167
TR280,13/05/2024,Complete,5048373337221350,OD168
TR281,13/05/2024,Complete,5048373309261870,OD169
TR282,14/05/2024,Complete,5048375778388520,OD170
TR283,14/05/2024,Complete,5048375200951310,OD173
TR284,14/05/2024,Complete,5108758724094850,OD174
TR285,14/05/2024,Complete,5048378301210860,OD175
TR286,14/05/2024,Complete,5108751564516120,OD176
TR287,14/05/2024,Complete,5108754644175240,OD178
TR288,15/05/2024,Complete,5048372958590630,OD179
TR289,15/05/2024,Complete,5108751382471940,OD181
TR290,15/05/2024,Complete,5108755256513610,OD183
TR291,15/05/2024,Complete,5048371009767850,OD184
TR292,15/05/2024,Complete,5108758453712540,OD182
TR293,15/05/2024,Complete,5048379298530400,OD186
TR294,15/05/2024,Complete,5108755788938660,OD187
TR295,16/05/2024,Failed,5048373059283950,OD190
TR296,16/05/2024,Complete,5048379630749960,OD191
TR297,16/05/2024,Complete,5048375454657350,OD192
TR298,17/05/2024,Complete,5048375844959160,OD194
TR299,17/05/2024,Complete,5048370605357200,OD195
TR300,17/05/2024,Complete,5048375166881440,OD196
TR301,17/05/2024,Complete,5108759147886910,OD193
TR302,18/05/2024,Complete,5108755006251660,OD197
TR303,18/05/2024,Complete,5048374755608880,OD198
TR304,18/05/2024,Complete,5048375047668200,OD199
TR305,18/05/2024,Complete,5048375844959160,OD200
TR306,18/05/2024,Complete,5048375075443500,OD201
TR307,19/05/2024,Complete,5048373309261870,OD202
TR308,19/05/2024,Complete,5108756398491250,OD203
TR309,19/05/2024,Complete,5108758560359540,OD204
TR310,19/05/2024,Complete,5108754925405370,OD205
TR311,20/05/2024,Complete,5048372620827280,OD206
TR312,20/05/2024,Complete,5048377425648890,OD207
TR313,21/05/2024,Complete,5108753095929860,OD208
TR314,21/05/2024,Complete,5108753787437380,OD209
TR315,22/05/2024,Complete,5108756577271510,OD210
TR316,22/05/2024,Complete,5048375200951310,OD211
TR317,22/05/2024,Complete,5048373337221350,OD212
TR318,23/05/2024,Complete,5108756979362240,OD214
TR319,23/05/2024,Complete,5048372587962150,OD215
TR320,23/05/2024,Complete,5108754848454780,OD217
TR321,23/05/2024,Complete,5108754474918090,OD218
TR322,23/05/2024,Complete,5048379948821780,OD213
TR323,23/05/2024,Complete,5048376571785530,OD219
TR324,23/05/2024,Complete,5108751912023980,OD221
TR325,24/05/2024,Complete,5108751857042780,OD222
TR326,24/05/2024,Complete,5108756979362240,OD224
TR327,24/05/2024,Complete,5108753598833620,OD225
TR328,25/05/2024,Complete,5108753787437380,OD226
TR329,25/05/2024,Complete,5108759871788760,OD227
TR330,26/05/2024,Complete,5108753598289170,OD229
TR331,26/05/2024,On Hold,5048374986235900,OD230
TR332,26/05/2024,Complete,5048374189668210,OD231
TR333,26/05/2024,Complete,5048370605357200,OD232
TR334,26/05/2024,Complete,5108756054149210,OD233
TR335,27/05/2024,Complete,5108754309489810,OD234
TR336,27/05/2024,Complete,5108752780517740,OD235
TR337,27/05/2024,Complete,5108752780517740,OD236
TR338,28/05/2024,Complete,5048373478601710,OD237
TR339,29/05/2024,Complete,5048375075443500,OD238
TR340,29/05/2024,Complete,5048374910771320,OD239
TR341,30/05/2024,Complete,5048373059283950,OD240
TR342,30/05/2024,Complete,5108754101167950,OD242
TR343,30/05/2024,Complete,5108757922671880,OD243
TR344,30/05/2024,Complete,5108755256513610,OD244
TR345,30/05/2024,Complete,5108756054149210,OD245
TR346,31/05/2024,Complete,5108756320314460,OD246
TR347,01/06/2024,Complete,5048373227732610,OD247
TR348,01/06/2024,Complete,5048371854947530,OD249
TR349,01/06/2024,Complete,5048370679330250,OD250
TR350,01/06/2024,Complete,5108759871788760,OD251
TR351,01/06/2024,Failed,5108750565676770,OD254
TR352,01/06/2024,Complete,5108754706997300,OD255
TR353,02/06/2024,Complete,5108758724094850,OD258
TR354,02/06/2024,Complete,5108757717646290,OD259
TR355,02/06/2024,Complete,5108758515733760,OD257
TR356,02/06/2024,Complete,5048375218555830,OD260
TR357,02/06/2024,Complete,5048375200951310,OD261
TR358,02/06/2024,Complete,5108759147886910,OD262
TR359,03/06/2024,Complete,5108754352354120,OD263
TR360,03/06/2024,Complete,5108759647463910,OD264
TR361,03/06/2024,Complete,5048375778388520,OD265
TR362,04/06/2024,Complete,5108751857042780,OD266
TR363,04/06/2024,Complete,5048370606596390,OD267
TR364,04/06/2024,Complete,5108755086319640,OD269
TR365,04/06/2024,Complete,5108757475108610,OD270
TR366,04/06/2024,Complete,5048374986235900,OD272
TR367,04/06/2024,Complete,5048373745254310,OD273
TR368,05/06/2024,Complete,5048373541895960,OD274
TR369,05/06/2024,Complete,5108753995279930,OD275
TR370,05/06/2024,Complete,5048371854947530,OD276
TR371,05/06/2024,Complete,5048371009767850,OD277
TR372,05/06/2024,Complete,5108754706997300,OD278
TR373,06/06/2024,Complete,5048370255304960,OD279
TR374,06/06/2024,Complete,5108751564516120,OD280
TR375,06/06/2024,Complete,5108751564516120,OD281
TR376,07/06/2024,Complete,5108755982257060,OD282
TR377,07/06/2024,Complete,5108752417045500,OD283
TR378,07/06/2024,Complete,5108754474918090,OD284
TR379,08/06/2024,Complete,5108756094064390,OD289
TR380,08/06/2024,Failed,5048375047668200,OD290
TR381,08/06/2024,Complete,5048375957265010,OD291
TR382,08/06/2024,Complete,5108752046582470,OD288
TR383,09/06/2024,Complete,5108753095929860,OD292
TR384,09/06/2024,Complete,5048373309261870,OD293
TR385,10/06/2024,Complete,5048379749370580,OD294
TR386,10/06/2024,Complete,5108753095929860,OD295
TR387,10/06/2024,Complete,5048378584106470,OD296
TR388,11/06/2024,Complete,5108756174041280,OD297
TR389,11/06/2024,Complete,5048376137554000,OD298
TR390,11/06/2024,Complete,5108750058478280,OD299
TR391,11/06/2024,Complete,5108755006251660,OD300
TR392,11/06/2024,Complete,5048378771995040,OD302
TR393,11/06/2024,Complete,5108754322611500,OD303
TR394,12/06/2024,Complete,5048377425648890,OD304
TR395,12/06/2024,Complete,5048373295861540,OD306
TR396,12/06/2024,Complete,5048375454657350,OD307
TR397,12/06/2024,Complete,5108756012384560,OD305
TR398,13/06/2024,Complete,5048374986235900,OD308
TR399,13/06/2024,Complete,5048379948821780,OD312
TR400,13/06/2024,Complete,5048374189668210,OD313
TR401,13/06/2024,Complete,5048370255304960,OD314
