transaction_id,transaction_date,transaction_status,card_number,order_id
TR001,01/01/2024,Complete,5.36589E+15,OD027
TR002,08/02/2024,Complete,4.48504E+15,OD248
TR003,09/02/2024,Complete,4.55629E+15,OD309
TR004,03/02/2024,Complete,5.21404E+15,OD097
TR005,18/01/2024,Complete,4.91697E+15,OD478
TR006,29/01/2024,Complete,5.21404E+15,OD661
TR007,24/02/2024,Complete,5.21404E+15,OD905
TR008,20/01/2024,On Hold,4.48504E+15,OD508
TR009,02/02/2024,Complete,4.55629E+15,OD048
TR010,07/01/2024,Complete,4.55629E+15,OD188
TR011,08/02/2024,Complete,4.55629E+15,OD241
TR012,10/02/2024,Complete,4.55629E+15,OD329
TR013,16/01/2024,Cancelled,4.55629E+15,OD457
TR014,27/01/2024,Complete,4.55629E+15,OD637
TR015,08/02/2024,Complete,5.21404E+15,OD223
TR016,08/03/2024,Complete,5.40936E+15,OD285
TR017,03/03/2024,Complete,4.91697E+15,OD130
TR018,10/01/2024,Complete,4.91697E+15,OD311
TR019,18/02/2024,Complete,5.40936E+15,OD819
TR020,23/01/2024,Complete,4.53926E+15,OD531
TR021,26/02/2024,Complete,5.54172E+15,OD927
TR022,03/02/2024,Complete,5.12477E+15,OD104
TR023,04/03/2024,Complete,4.71672E+15,OD143
TR024,08/02/2024,Complete,4.71672E+15,OD253
TR025,24/01/2024,Complete,5.12477E+15,OD579
TR026,29/01/2024,Complete,5.12477E+15,OD665
TR027,02/03/2024,Complete,5.45498E+15,OD049
TR028,12/01/2024,Complete,5.22935E+15,OD395
TR029,18/01/2024,Complete,5.22935E+15,OD491
TR030,04/02/2024,Complete,4.53986E+15,OD139
TR031,12/01/2024,Complete,4.92972E+15,OD394
TR032,12/02/2024,Complete,4.92972E+15,OD422
TR033,12/02/2024,Complete,4.92972E+15,OD422
TR034,16/01/2024,Complete,4.53986E+15,OD440
TR035,27/01/2024,Complete,4.92972E+15,OD632
TR036,03/03/2024,Complete,4.91661E+15,OD121
TR037,04/01/2024,Complete,4.91661E+15,OD133
TR038,11/01/2024,Complete,4.91661E+15,OD364
TR039,23/01/2024,Complete,4.91661E+15,OD563
TR040,25/01/2024,Complete,4.91661E+15,OD600
TR041,01/03/2024,Complete,5.54172E+15,OD037
TR042,05/03/2024,Complete,5.54172E+15,OD161
TR043,10/01/2024,Complete,5.54172E+15,OD322
TR044,15/02/2024,Complete,5.45498E+15,OD735
TR045,10/01/2024,Complete,4.5323E+15,OD310
TR046,30/01/2024,Complete,4.5323E+15,OD673
TR047,14/02/2024,Complete,4.5323E+15,OD727
TR048,26/01/2024,Complete,4.53261E+15,OD616
TR049,18/02/2024,Complete,4.53261E+15,OD797
TR050,24/02/2024,Complete,4.53261E+15,OD902
TR051,18/01/2024,Complete,5.53869E+15,OD459
TR052,18/01/2024,Complete,5.53869E+15,OD481
TR053,21/02/2024,Complete,5.53869E+15,OD838
TR054,03/01/2024,Complete,5.36847E+15,OD067
TR055,08/02/2024,Complete,5.36847E+15,OD256
TR056,09/01/2024,Complete,5.36847E+15,OD287
TR057,16/01/2024,Complete,5.36847E+15,OD433
TR058,25/02/2024,Complete,4.53266E+15,OD916
TR059,08/03/2024,Complete,4.71672E+15,OD268
TR060,08/03/2024,Complete,4.71672E+15,OD271
TR061,17/02/2024,Complete,4.71672E+15,OD784
TR062,15/01/2024,Complete,5.11794E+15,OD425
TR063,30/01/2024,Complete,5.11794E+15,OD688
TR064,03/01/2024,Complete,4.92972E+15,OD062
TR065,05/03/2024,Complete,4.92972E+15,OD162
TR066,29/01/2024,Complete,4.92972E+15,OD669
TR067,05/01/2024,Complete,4.53264E+15,OD147
TR068,17/02/2024,Complete,4.53926E+15,OD781
TR069,18/02/2024,Complete,4.53926E+15,OD815
TR070,19/02/2024,Complete,4.53926E+15,OD822
TR071,23/02/2024,Complete,5.33907E+15,OD889
TR072,03/03/2024,Complete,4.55647E+15,OD105
TR073,15/02/2024,Complete,4.55647E+15,OD745
TR074,20/01/2024,Complete,4.9166E+15,OD502
TR075,24/01/2024,Complete,4.9166E+15,OD588
TR076,19/01/2024,Complete,5.46736E+15,OD493
TR077,01/01/2024,Complete,5.45683E+15,OD013
TR078,10/01/2024,Complete,5.45683E+15,OD325
TR079,21/02/2024,Complete,4.55644E+15,OD853
TR080,22/02/2024,Complete,4.55644E+15,OD855
TR081,12/02/2024,Complete,4.53275E+15,OD401
TR082,16/02/2024,Complete,5.36589E+15,OD761
TR083,22/02/2024,Cancelled,5.36589E+15,OD878
TR084,10/01/2024,Complete,5.33754E+15,OD315
TR085,25/01/2024,Complete,5.33754E+15,OD589
TR086,26/02/2024,Complete,5.33754E+15,OD944
TR087,03/01/2024,Complete,5.29813E+15,OD068
TR088,07/01/2024,Complete,5.29813E+15,OD185
TR089,10/02/2024,Complete,5.29813E+15,OD341
TR090,01/01/2024,Complete,4.53998E+15,OD015
TR091,08/02/2024,Complete,4.53998E+15,OD228
TR092,27/01/2024,Complete,4.53998E+15,OD642
TR093,22/02/2024,Failed,4.53998E+15,OD888
TR094,23/01/2024,Complete,4.91678E+15,OD557
TR095,25/02/2024,On Hold,4.91678E+15,OD922
TR096,22/01/2024,Complete,5.50167E+15,OD527
TR097,27/01/2024,Complete,5.50167E+15,OD625
TR098,28/02/2024,Complete,5.50167E+15,OD984
TR099,06/02/2024,Complete,4.92897E+15,OD171
TR100,25/02/2024,Cancelled,4.92897E+15,OD914
TR101,07/02/2024,Complete,4.53213E+15,OD189
TR102,09/01/2024,Complete,5.16907E+15,OD286
TR103,12/01/2024,Complete,5.16907E+15,OD400
TR104,20/02/2024,Complete,5.16907E+15,OD834
TR105,23/02/2024,Complete,5.44013E+15,OD891
TR106,01/01/2024,Complete,4.53295E+15,OD025
TR107,04/03/2024,Complete,4.53295E+15,OD140
TR108,14/02/2024,Complete,4.53295E+15,OD713
TR109,27/02/2024,Complete,4.53295E+15,OD946
TR110,05/02/2024,Complete,4.53937E+15,OD156
TR111,16/01/2024,Complete,4.53937E+15,OD430
TR112,14/02/2024,Complete,4.53937E+15,OD721
TR113,04/01/2024,Complete,5.21487E+15,OD134
TR114,06/03/2024,Complete,5.21487E+15,OD177
TR115,20/01/2024,Complete,5.21487E+15,OD494
TR116,26/01/2024,Complete,5.52963E+15,OD609
TR117,19/02/2024,Complete,5.40936E+15,OD820
TR118,23/01/2024,Complete,4.92995E+15,OD568
TR119,26/01/2024,Complete,4.92995E+15,OD605
TR120,26/02/2024,Complete,4.92995E+15,OD939
TR121,29/02/2024,Complete,4.92995E+15,OD994
TR122,07/02/2024,Complete,4.53932E+15,OD216
TR123,09/01/2024,Complete,4.53932E+15,OD301
TR124,17/02/2024,Complete,4.53932E+15,OD777
TR125,11/02/2024,Complete,5.28618E+15,OD368
TR126,26/02/2024,Complete,5.28618E+15,OD930
TR127,27/02/2024,Complete,5.28618E+15,OD960
TR128,04/02/2024,Complete,5.32077E+15,OD135
TR129,13/02/2024,Complete,5.32077E+15,OD698
TR130,24/02/2024,Complete,5.32077E+15,OD899
TR131,01/02/2024,Complete,4.48502E+15,OD036
TR132,07/01/2024,Complete,4.48502E+15,OD180
TR133,23/01/2024,Complete,4.48502E+15,OD535
TR134,28/02/2024,Failed,4.48502E+15,OD972
TR135,06/02/2024,Complete,4.55668E+15,OD172
TR136,08/01/2024,Complete,4.55668E+15,OD220
TR137,01/01/2024,Complete,5.14729E+15,OD002
TR138,11/02/2024,Complete,5.14729E+15,OD389
TR139,25/01/2024,Complete,5.14729E+15,OD603
TR140,13/02/2024,Complete,5.14729E+15,OD704
